type,genre,release_year,rating,duration,duration_type,country
Movie,Drama,1963,PG-13,2,Seasons,United Kingdom
TV Show,Thriller,1979,PG,3,Seasons,Canada
Movie,Comedy,1963,TV-PG,2,Seasons,Germany
TV Show,Comedy,2006,TV-14,1,Seasons,Australia
Movie,Action,1970,R,2,Seasons,Canada
TV Show,Comedy,1963,TV-PG,2,Seasons,United Kingdom
Movie,Romance,2005,G,65,min,Japan
TV Show,Comedy,1984,TV-MA,1,Seasons,Australia
Movie,Romance,1998,R,79,min,United States
Movie,Drama,1976,G,73,min,South Korea
TV Show,Drama,1991,PG,3,Seasons,Japan
TV Show,Sci-Fi,2012,G,3,Seasons,Australia
Movie,Comedy,1977,G,103,min,South Korea
TV Show,Sci-Fi,1956,R,1,Seasons,Japan
TV Show,Horror,1985,TV-14,65,min,India
TV Show,Horror,1989,TV-14,3,Seasons,Germany
TV Show,Comedy,1960,TV-PG,1,Seasons,Australia
TV Show,Sci-Fi,1955,G,165,min,Australia
TV Show,Comedy,1990,PG-13,1,Seasons,Canada
Movie,Thriller,1985,PG-13,2,Seasons,Japan
TV Show,Thriller,1950,PG,179,min,Australia
TV Show,Horror,1993,R,113,min,United Kingdom
TV Show,Thriller,1996,R,3,Seasons,Germany
TV Show,Horror,2022,R,1,Seasons,Japan
TV Show,Drama,1994,TV-PG,1,Seasons,Germany
TV Show,Documentary,2005,PG,3,Seasons,Germany
Movie,Sci-Fi,2012,PG,166,min,United Kingdom
Movie,Thriller,1968,PG,91,min,Australia
Movie,Documentary,1979,R,119,min,United Kingdom
Movie,Drama,1959,G,164,min,Australia
Movie,Documentary,1979,PG-13,3,Seasons,Canada
TV Show,Drama,1956,TV-14,169,min,Canada
Movie,Romance,2012,PG,104,min,United Kingdom
TV Show,Horror,2001,TV-MA,155,min,United Kingdom
Movie,Drama,1960,PG-13,135,min,United Kingdom
TV Show,Comedy,1983,PG,70,min,Japan
TV Show,Romance,1986,TV-MA,177,min,United Kingdom
TV Show,Action,1961,TV-MA,109,min,India
TV Show,Romance,1978,R,1,Seasons,India
TV Show,Documentary,2011,TV-14,1,Seasons,Germany
TV Show,Comedy,1958,R,179,min,United States
Movie,Thriller,1993,R,126,min,Germany
TV Show,Horror,1981,TV-PG,3,Seasons,Germany
TV Show,Drama,2002,TV-MA,2,Seasons,Australia
TV Show,Documentary,1952,PG-13,3,Seasons,United Kingdom
Movie,Horror,1964,TV-14,2,Seasons,United States
TV Show,Comedy,2014,TV-14,158,min,United States
Movie,Documentary,1951,PG,3,Seasons,Canada
TV Show,Comedy,2018,PG-13,1,Seasons,South Korea
TV Show,Sci-Fi,1956,PG,1,Seasons,Germany
TV Show,Documentary,1959,TV-14,3,Seasons,United Kingdom
Movie,Action,1974,PG-13,122,min,United States
Movie,Drama,1972,TV-14,1,Seasons,Germany
TV Show,Comedy,1971,R,3,Seasons,Germany
Movie,Documentary,1998,TV-PG,122,min,Japan
TV Show,Documentary,1967,PG-13,3,Seasons,India
TV Show,Horror,1967,G,3,Seasons,Japan
TV Show,Comedy,1995,PG-13,127,min,South Korea
Movie,Sci-Fi,2002,PG,2,Seasons,Japan
TV Show,Comedy,2015,G,2,Seasons,United Kingdom
Movie,Thriller,2017,TV-14,2,Seasons,Canada
Movie,Documentary,2018,TV-14,2,Seasons,South Korea
Movie,Sci-Fi,1965,TV-PG,3,Seasons,United Kingdom
TV Show,Sci-Fi,1960,G,3,Seasons,Japan
TV Show,Romance,1958,TV-MA,173,min,Germany
Movie,Romance,2000,G,2,Seasons,South Korea
Movie,Comedy,1969,TV-MA,89,min,Australia
Movie,Documentary,1962,PG-13,1,Seasons,Canada
Movie,Drama,1967,R,106,min,Germany
TV Show,Documentary,1964,R,2,Seasons,United Kingdom
TV Show,Drama,1969,G,66,min,Germany
Movie,Documentary,2016,R,1,Seasons,Japan
TV Show,Sci-Fi,1969,G,169,min,United Kingdom
TV Show,Action,1988,PG-13,2,Seasons,Canada
Movie,Sci-Fi,1954,TV-PG,174,min,South Korea
TV Show,Action,2016,TV-14,109,min,Canada
Movie,Romance,2000,R,1,Seasons,Australia
TV Show,Thriller,2015,TV-PG,3,Seasons,United States
TV Show,Romance,2017,PG-13,125,min,Germany
Movie,Sci-Fi,1968,PG-13,2,Seasons,United Kingdom
TV Show,Romance,1979,TV-PG,3,Seasons,United States
Movie,Thriller,2017,G,147,min,South Korea
TV Show,Documentary,1988,R,131,min,Germany
Movie,Sci-Fi,1951,TV-14,175,min,Japan
TV Show,Documentary,2003,PG,1,Seasons,United States
Movie,Drama,1974,R,3,Seasons,Canada
TV Show,Drama,1986,TV-14,1,Seasons,Germany
Movie,Sci-Fi,1998,R,78,min,United States
Movie,Documentary,1971,TV-14,1,Seasons,Japan
Movie,Thriller,1964,PG,113,min,Australia
Movie,Comedy,1990,R,165,min,Germany
Movie,Thriller,2017,TV-MA,3,Seasons,South Korea
TV Show,Comedy,1968,PG,161,min,India
TV Show,Drama,1968,G,128,min,Canada
TV Show,Documentary,1973,G,2,Seasons,United Kingdom
Movie,Action,1987,G,114,min,United States
Movie,Documentary,1960,TV-PG,124,min,United Kingdom
TV Show,Comedy,1964,TV-MA,159,min,South Korea
TV Show,Comedy,1960,TV-PG,3,Seasons,United Kingdom
Movie,Documentary,1984,PG,70,min,India
TV Show,Horror,2021,TV-MA,2,Seasons,Australia
Movie,Thriller,1963,G,1,Seasons,Japan
Movie,Romance,2004,TV-14,178,min,India
Movie,Documentary,2008,TV-MA,3,Seasons,Japan
Movie,Romance,1971,TV-PG,158,min,Germany
TV Show,Drama,1970,G,163,min,India
Movie,Horror,2005,G,3,Seasons,Germany
Movie,Documentary,1988,PG,153,min,South Korea
TV Show,Comedy,1957,R,2,Seasons,United Kingdom
TV Show,Romance,2014,G,132,min,South Korea
TV Show,Romance,2001,TV-14,110,min,South Korea
TV Show,Sci-Fi,1991,PG-13,1,Seasons,Australia
TV Show,Drama,1985,TV-PG,2,Seasons,Australia
Movie,Action,1982,TV-MA,127,min,Germany
TV Show,Thriller,1978,R,111,min,United Kingdom
Movie,Romance,1959,TV-MA,122,min,Japan
TV Show,Action,2015,TV-14,3,Seasons,United Kingdom
TV Show,Comedy,1955,TV-MA,3,Seasons,Germany
Movie,Romance,1994,TV-PG,1,Seasons,Germany
Movie,Action,1979,TV-MA,81,min,Japan
Movie,Romance,2009,PG-13,166,min,United States
TV Show,Comedy,1952,TV-MA,89,min,Canada
TV Show,Sci-Fi,2016,PG,2,Seasons,Germany
Movie,Comedy,1959,PG,151,min,United Kingdom
Movie,Thriller,1951,TV-PG,3,Seasons,United Kingdom
TV Show,Action,1956,R,145,min,Canada
TV Show,Drama,1955,TV-MA,92,min,Australia
Movie,Sci-Fi,1991,G,2,Seasons,India
Movie,Comedy,2018,TV-MA,1,Seasons,Australia
TV Show,Romance,1984,TV-14,71,min,Japan
TV Show,Sci-Fi,1986,PG,139,min,India
Movie,Romance,1970,TV-14,140,min,South Korea
TV Show,Action,1977,R,77,min,South Korea
Movie,Horror,1972,TV-PG,3,Seasons,Germany
Movie,Comedy,1951,PG-13,3,Seasons,South Korea
Movie,Romance,1968,TV-PG,72,min,Australia
TV Show,Drama,1950,TV-14,100,min,South Korea
TV Show,Action,1954,PG-13,2,Seasons,Canada
Movie,Horror,2019,R,3,Seasons,Australia
TV Show,Comedy,2018,TV-MA,78,min,Canada
Movie,Romance,1993,PG-13,140,min,United States
TV Show,Action,1994,PG,89,min,Germany
TV Show,Comedy,1994,R,1,Seasons,United Kingdom
Movie,Comedy,1988,TV-PG,1,Seasons,Canada
Movie,Drama,1958,TV-PG,134,min,India
Movie,Horror,2009,G,126,min,India
TV Show,Action,1962,PG,1,Seasons,South Korea
TV Show,Romance,1959,R,92,min,Canada
TV Show,Romance,1967,PG,2,Seasons,India
Movie,Horror,1977,R,3,Seasons,India
TV Show,Drama,2005,PG-13,176,min,Australia
TV Show,Action,2019,R,2,Seasons,Germany
TV Show,Horror,2014,PG-13,171,min,United States
TV Show,Horror,1984,TV-MA,150,min,Canada
TV Show,Comedy,2008,G,2,Seasons,United Kingdom
TV Show,Horror,2009,TV-PG,155,min,South Korea
TV Show,Drama,2001,TV-14,2,Seasons,United States
TV Show,Romance,2015,G,1,Seasons,Japan
TV Show,Horror,1971,TV-MA,100,min,South Korea
TV Show,Horror,1994,PG,94,min,Germany
TV Show,Sci-Fi,1991,R,104,min,South Korea
Movie,Drama,1954,R,2,Seasons,India
TV Show,Sci-Fi,2004,G,109,min,Australia
TV Show,Comedy,2010,PG,68,min,Canada
TV Show,Thriller,2006,R,3,Seasons,South Korea
TV Show,Horror,2000,R,107,min,India
TV Show,Sci-Fi,2016,TV-14,3,Seasons,United Kingdom
TV Show,Horror,1987,G,61,min,Japan
Movie,Romance,1997,PG,3,Seasons,India
TV Show,Romance,1998,G,1,Seasons,South Korea
TV Show,Drama,2021,G,1,Seasons,South Korea
TV Show,Action,1970,R,2,Seasons,Japan
TV Show,Action,1974,TV-PG,1,Seasons,Canada
TV Show,Documentary,1960,R,2,Seasons,Australia
Movie,Documentary,2018,PG,3,Seasons,Germany
TV Show,Documentary,2002,PG,111,min,Japan
TV Show,Romance,1961,TV-14,67,min,United States
TV Show,Thriller,1970,PG,1,Seasons,United Kingdom
TV Show,Romance,2008,TV-MA,3,Seasons,Germany
TV Show,Romance,1995,PG,111,min,Germany
Movie,Comedy,1958,TV-PG,89,min,United Kingdom
Movie,Action,1979,R,100,min,Australia
TV Show,Drama,2021,TV-14,73,min,Germany
Movie,Romance,1990,TV-MA,2,Seasons,Canada
Movie,Documentary,1979,TV-14,1,Seasons,Germany
TV Show,Documentary,1983,TV-MA,65,min,South Korea
Movie,Comedy,2004,R,3,Seasons,Japan
TV Show,Horror,1954,TV-14,71,min,United States
TV Show,Sci-Fi,1956,TV-PG,70,min,South Korea
Movie,Comedy,2006,G,1,Seasons,Germany
TV Show,Documentary,2013,TV-PG,92,min,India
Movie,Horror,1967,TV-14,124,min,Australia
Movie,Romance,1988,TV-PG,178,min,United Kingdom
Movie,Horror,1982,TV-14,116,min,South Korea
TV Show,Drama,2021,R,173,min,Canada
TV Show,Thriller,1991,PG-13,88,min,Japan
Movie,Action,2001,TV-MA,76,min,United Kingdom
Movie,Comedy,2014,TV-PG,3,Seasons,Canada
TV Show,Action,2015,TV-14,96,min,Australia
Movie,Comedy,2013,R,168,min,United Kingdom
TV Show,Romance,1995,G,139,min,Germany
TV Show,Romance,1956,TV-PG,3,Seasons,Canada
TV Show,Horror,1955,PG-13,116,min,Canada
Movie,Documentary,1954,PG,2,Seasons,Australia
Movie,Thriller,1993,PG-13,3,Seasons,Germany
Movie,Documentary,2005,PG-13,3,Seasons,United States
Movie,Drama,1989,TV-PG,3,Seasons,Canada
Movie,Drama,1957,TV-MA,2,Seasons,Canada
TV Show,Thriller,1969,TV-MA,1,Seasons,United Kingdom
TV Show,Sci-Fi,1957,TV-PG,3,Seasons,United States
Movie,Drama,2003,R,2,Seasons,Germany
TV Show,Thriller,1976,TV-14,116,min,Germany
Movie,Thriller,1973,PG-13,94,min,Australia
Movie,Drama,1969,TV-MA,1,Seasons,Australia
TV Show,Action,1979,TV-PG,2,Seasons,India
Movie,Comedy,2013,PG-13,115,min,United Kingdom
TV Show,Documentary,1997,TV-MA,65,min,United Kingdom
Movie,Thriller,1992,G,1,Seasons,United Kingdom
TV Show,Drama,1970,G,151,min,South Korea
Movie,Romance,2008,TV-MA,1,Seasons,United States
TV Show,Sci-Fi,2020,TV-MA,1,Seasons,Australia
Movie,Thriller,1953,PG,1,Seasons,India
TV Show,Documentary,2010,TV-PG,76,min,Germany
TV Show,Drama,1951,G,3,Seasons,United States
TV Show,Documentary,1966,TV-PG,107,min,Germany
TV Show,Thriller,1990,TV-PG,1,Seasons,Australia
Movie,Romance,2007,TV-14,3,Seasons,South Korea
Movie,Thriller,1983,PG,131,min,South Korea
Movie,Action,1953,TV-14,68,min,Canada
TV Show,Romance,1950,G,3,Seasons,Japan
Movie,Comedy,1979,TV-14,1,Seasons,South Korea
TV Show,Drama,1998,PG,131,min,Japan
Movie,Comedy,1953,R,1,Seasons,Australia
TV Show,Romance,1981,TV-14,3,Seasons,South Korea
TV Show,Thriller,2003,PG,1,Seasons,Australia
Movie,Thriller,1966,PG-13,153,min,Germany
TV Show,Drama,1958,TV-PG,1,Seasons,Canada
Movie,Comedy,1969,PG-13,90,min,India
TV Show,Thriller,2012,TV-14,65,min,Japan
Movie,Documentary,1982,R,179,min,Germany
Movie,Thriller,2009,R,131,min,Canada
Movie,Romance,1950,TV-14,148,min,South Korea
TV Show,Drama,1988,PG,3,Seasons,India
TV Show,Drama,1978,TV-14,70,min,Australia
TV Show,Horror,2007,R,158,min,United Kingdom
Movie,Action,1989,G,121,min,India
Movie,Drama,1968,PG,101,min,Canada
Movie,Romance,1999,TV-MA,2,Seasons,Germany
TV Show,Documentary,2010,R,81,min,India
TV Show,Documentary,1983,R,107,min,Germany
Movie,Thriller,2004,TV-14,153,min,Germany
Movie,Documentary,1990,PG-13,3,Seasons,United Kingdom
TV Show,Action,1970,PG,104,min,South Korea
Movie,Drama,1964,R,1,Seasons,Canada
TV Show,Romance,1979,PG,102,min,United States
TV Show,Documentary,1980,G,143,min,South Korea
Movie,Action,2009,R,130,min,United Kingdom
TV Show,Documentary,1967,TV-14,1,Seasons,United Kingdom
TV Show,Documentary,1968,G,96,min,Canada
Movie,Comedy,1961,TV-MA,1,Seasons,Australia
TV Show,Drama,1997,TV-14,2,Seasons,Canada
Movie,Horror,1979,R,3,Seasons,United States
Movie,Action,1962,PG-13,87,min,Japan
Movie,Comedy,1993,R,2,Seasons,South Korea
Movie,Romance,2009,TV-MA,92,min,United States
TV Show,Horror,2014,TV-MA,77,min,India
TV Show,Horror,2010,TV-MA,149,min,Australia
Movie,Drama,2005,TV-14,172,min,Canada
TV Show,Thriller,1958,G,2,Seasons,United Kingdom
TV Show,Action,1997,TV-PG,2,Seasons,South Korea
Movie,Documentary,2014,TV-MA,3,Seasons,Canada
Movie,Sci-Fi,1967,TV-14,1,Seasons,Germany
TV Show,Action,1973,G,73,min,United Kingdom
TV Show,Drama,1988,TV-MA,1,Seasons,India
Movie,Comedy,2002,TV-14,146,min,United States
Movie,Sci-Fi,1999,G,65,min,Australia
Movie,Drama,1995,PG-13,174,min,Japan
Movie,Action,1981,TV-MA,95,min,Germany
Movie,Drama,2016,G,3,Seasons,Australia
Movie,Thriller,2023,PG-13,63,min,India
Movie,Documentary,1984,TV-14,178,min,United Kingdom
Movie,Romance,1950,TV-MA,2,Seasons,Japan
Movie,Drama,1968,TV-MA,63,min,South Korea
Movie,Comedy,1999,G,160,min,India
Movie,Thriller,1993,TV-14,3,Seasons,United States
Movie,Thriller,1973,TV-PG,1,Seasons,Australia
TV Show,Drama,1964,TV-PG,88,min,Canada
TV Show,Thriller,2011,TV-MA,3,Seasons,United Kingdom
TV Show,Sci-Fi,2020,TV-MA,108,min,Australia
TV Show,Action,2010,PG-13,3,Seasons,Germany
TV Show,Horror,1964,R,128,min,Japan
TV Show,Comedy,1987,PG-13,3,Seasons,Australia
Movie,Horror,1968,R,172,min,South Korea
Movie,Horror,2000,G,3,Seasons,Australia
TV Show,Comedy,2003,TV-PG,60,min,Canada
Movie,Thriller,2019,TV-PG,2,Seasons,United Kingdom
TV Show,Action,2008,PG-13,2,Seasons,Australia
TV Show,Drama,1981,TV-14,2,Seasons,South Korea
Movie,Action,1985,PG,86,min,Japan
Movie,Horror,1970,TV-PG,90,min,United States
TV Show,Horror,1956,TV-MA,1,Seasons,Germany
Movie,Comedy,2005,G,1,Seasons,United States
Movie,Action,1999,TV-PG,98,min,Australia
TV Show,Comedy,1979,PG,3,Seasons,India
TV Show,Thriller,1970,TV-14,2,Seasons,United Kingdom
TV Show,Horror,1984,PG-13,1,Seasons,Germany
Movie,Comedy,1990,TV-PG,3,Seasons,South Korea
TV Show,Action,1987,PG-13,2,Seasons,Canada
TV Show,Thriller,1964,R,114,min,Japan
TV Show,Thriller,1966,PG-13,3,Seasons,Canada
TV Show,Comedy,1954,TV-PG,3,Seasons,Germany
TV Show,Action,2005,TV-PG,1,Seasons,United States
TV Show,Drama,1950,G,2,Seasons,United States
TV Show,Thriller,1986,TV-14,3,Seasons,United Kingdom
TV Show,Horror,1972,G,90,min,United Kingdom
TV Show,Thriller,1980,PG,76,min,Germany
TV Show,Horror,1983,R,95,min,India
TV Show,Thriller,1966,TV-MA,75,min,Germany
Movie,Thriller,1954,PG,152,min,United Kingdom
TV Show,Comedy,1989,TV-MA,116,min,Australia
Movie,Drama,2007,TV-14,3,Seasons,India
TV Show,Comedy,1950,TV-PG,1,Seasons,Germany
TV Show,Thriller,1972,PG,3,Seasons,Canada
TV Show,Thriller,1975,PG-13,3,Seasons,Germany
TV Show,Thriller,1957,PG-13,1,Seasons,United States
TV Show,Documentary,2014,G,102,min,Australia
TV Show,Sci-Fi,1975,PG,1,Seasons,South Korea
Movie,Sci-Fi,1990,TV-PG,85,min,South Korea
Movie,Sci-Fi,2021,R,3,Seasons,United States
TV Show,Drama,2022,PG-13,164,min,South Korea
TV Show,Comedy,2002,PG,173,min,India
TV Show,Comedy,1983,TV-14,136,min,United Kingdom
Movie,Drama,1988,PG,3,Seasons,United Kingdom
Movie,Romance,1979,TV-14,1,Seasons,Australia
Movie,Documentary,2013,TV-MA,156,min,Australia
Movie,Comedy,2019,TV-MA,3,Seasons,United Kingdom
Movie,Sci-Fi,2000,PG-13,3,Seasons,South Korea
Movie,Comedy,2010,TV-14,2,Seasons,Japan
TV Show,Romance,2004,TV-PG,123,min,United Kingdom
TV Show,Horror,1952,R,1,Seasons,United States
Movie,Thriller,2014,TV-MA,1,Seasons,Canada
Movie,Thriller,1996,G,1,Seasons,Canada
Movie,Horror,2007,TV-PG,3,Seasons,India
TV Show,Horror,2016,TV-14,113,min,United Kingdom
TV Show,Horror,2015,PG-13,1,Seasons,India
TV Show,Thriller,1998,PG-13,76,min,United States
TV Show,Romance,1976,PG,3,Seasons,Japan
TV Show,Action,1983,TV-14,168,min,Canada
TV Show,Comedy,1974,R,66,min,India
Movie,Comedy,1956,R,118,min,Germany
Movie,Sci-Fi,2008,TV-MA,176,min,Japan
TV Show,Action,1957,TV-MA,170,min,United Kingdom
TV Show,Thriller,1994,R,3,Seasons,Japan
Movie,Horror,1979,TV-14,2,Seasons,India
Movie,Drama,2014,PG,3,Seasons,Canada
Movie,Drama,1988,G,3,Seasons,Canada
TV Show,Drama,1982,TV-PG,67,min,Australia
Movie,Romance,1956,TV-14,1,Seasons,India
TV Show,Documentary,1974,G,97,min,Germany
TV Show,Thriller,1953,TV-14,2,Seasons,India
TV Show,Documentary,1969,TV-MA,65,min,Japan
TV Show,Romance,1950,PG,1,Seasons,United Kingdom
TV Show,Drama,1989,PG,1,Seasons,United States
Movie,Thriller,1998,PG,171,min,Japan
Movie,Romance,2008,TV-MA,3,Seasons,Germany
TV Show,Sci-Fi,1990,TV-14,1,Seasons,Australia
Movie,Horror,1983,TV-14,3,Seasons,India
Movie,Comedy,1996,TV-PG,3,Seasons,Japan
TV Show,Comedy,1983,G,3,Seasons,Canada
TV Show,Documentary,1950,TV-MA,2,Seasons,Germany
TV Show,Horror,1950,G,1,Seasons,Australia
TV Show,Drama,2003,G,131,min,Canada
TV Show,Drama,1955,G,1,Seasons,India
TV Show,Sci-Fi,1990,TV-MA,151,min,Japan
TV Show,Action,1995,G,3,Seasons,Japan
Movie,Drama,1985,G,3,Seasons,United States
TV Show,Drama,1956,TV-MA,109,min,United Kingdom
Movie,Drama,1964,PG,2,Seasons,South Korea
Movie,Comedy,1979,PG-13,113,min,United Kingdom
TV Show,Thriller,1953,G,79,min,United States
TV Show,Thriller,1963,G,1,Seasons,Canada
TV Show,Thriller,1978,G,2,Seasons,South Korea
Movie,Sci-Fi,1956,TV-14,76,min,Canada
TV Show,Romance,1970,TV-14,70,min,Japan
Movie,Drama,1959,TV-MA,71,min,Canada
TV Show,Sci-Fi,1960,PG,1,Seasons,South Korea
Movie,Action,2020,PG,3,Seasons,Germany
Movie,Comedy,1959,TV-14,78,min,Germany
TV Show,Documentary,2021,TV-PG,121,min,Japan
Movie,Documentary,1957,G,2,Seasons,Japan
Movie,Romance,2009,TV-MA,83,min,Australia
Movie,Action,1989,G,1,Seasons,United Kingdom
Movie,Romance,1991,TV-PG,1,Seasons,United Kingdom
TV Show,Documentary,1998,R,3,Seasons,Germany
TV Show,Horror,2013,TV-MA,95,min,Canada
Movie,Drama,1987,PG-13,132,min,Australia
TV Show,Sci-Fi,2023,G,3,Seasons,Canada
TV Show,Horror,1982,TV-PG,3,Seasons,Canada
TV Show,Horror,1963,R,95,min,Australia
Movie,Drama,1960,PG-13,151,min,United States
Movie,Thriller,1966,R,3,Seasons,South Korea
TV Show,Thriller,1991,TV-PG,2,Seasons,Germany
TV Show,Thriller,1977,G,112,min,United States
